PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,Status,Master IC,,,
202410,1,119980639,20896010002,1729490095798,21,RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500 ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL ,399,500 ML,PLBOT,,1730191645550-swadeshi industrial works ltd-khomba#3.png,-,,,,
202410,1,119980639,20896010002,1730261100499,21,RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/200 ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL ,265,200ML,PLBOT,,1730261100499-reckitt benckiser -lanka- ltd-harpic#3.png,-,,,,
202410,1,101233726,11104010013,1730266243118,24,LAKJAYA PRODUCTS ,LAKJAYA NOODLES,LAKJAYA NOODLES\500\G\PPP\NOODLES,260,500G,PPP,,1730266243118-lakjaya products -lakjaya noodles#3.png,-,,,,
202410,4,8150737,21101040025,1730179830782,3,KEELLS FOOD PRODUCTS LTD,ELEPHANT HOUSE,ELEPHANT HOUSE/300/GM/PLPCH/CHICKEN SAUSAGES ,1300,300GM ,PLPCH ,,1730179830782-keells food products ltd-elephant house#3.png,-,,,,
202410,1,41085762,22402010017,1728291350486,6,CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85 GM/PLPCH/CAROL COOKIES,120,85 GM,PLPCH ,,1730179830782-keells food products ltd-elephant house#3.png,-,,,,
202410,1,131553196,11106010006,1729497063184,9,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/PLPCH/400/G/FULL CREAM MILK POWDER SAVE 50/-,1030,400G,PLPCH ,,1730179830782-keells food products ltd-elephant house#3.png,-,,,,
202410,1,559548,18675010001,1728624025036,45,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/125 GM/ REAL COCONUT MILK POWDER/CDBOX,440,125 GM,CDBOX,New Category,1730179830782-keells food products ltd-elephant house#3.png,-,,,,
202410,1,56151135,14060010001,1728985994318,26,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80/ML/PLBOT/DAMAGE RESTORE SHAMPOO ACTIV-MIX + FREE LIFEBUOY/75/GM/EWRPK/GLOWING SKIN SAKURA AND PINK CLAY ,385,80ML ,PLBOT ,,1730179830782-keells food products ltd-elephant house#3.png,-,,,,
202410,1,135072035,52404010002,1730272062946,15,HEMAS MARKETING,DIVA,DIVA/1000/GM/FRESH 3 IN 1 ROSE & LIME DETERGENT POWDER + FREE DIVA ROSE & LIME 200 GM DETERGENT POWDER,380,1200 GM,PLPCH,,1730272062946-hemas marketing-diva#3.png,-,,,,
202410,1,135072035,52404010002,1730178604016,28,CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CURRY POWDER,400,250 GM,PLPCH,,1730178604016-crown grinding mills-crown#3.png,-,,,,
202410,1,135072035,52404010002,1730177229966,21,LANKA TRADERS,SUPREME,SUPREME/100/ML/CLOROX,165,100 ML,PLBOT,,1730177229966-lanka traders-supreme#3.png,-,,,,
202410,1,135072035,52404010002,1730272395914,28,SUNIL GRINDING MILLS,SUNIL,SUNIL/1000/GM/CHILLI PIECES,1250,1000 GM,PLPCH,,1730272395914-sunil grinding mills-sunil#3.png,-,,,,
202410,1,135072035,52404010002,1730178383227,28,CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CHILLY POWDER,400,250 GM,PLPCH,,1730178383227-crown grinding mills-crown#3.png,-,,,,
202410,1,135072035,52404010002,1730271890562,28,CROWN GRINDING MILLS,CROWN,CROWN/1000/GM/CHILLI PIECES,1400,1000 GM,PLPCH,,1730271890562-crown grinding mills-crown#3.png,-,,,,
202410,1,87337306,62403010001,1730270523279,6,CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,100,85GM,PLPCH,,1730270523279-ceylon biscuits limited-munchee #3.png,-,,,,
