PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202502,2,113627751,13722020003,1740729289064,2,COCA-COLA BEVERAGES,SPRITE,SPRITE/1050/ML/PBT/SAVE RS. 30/=,270,1050ML,PBT,Any other reason,1740729289064-coca-cola beverages-sprite#3.png
202502,2,113627751,13722020003,1740461744814,2,COCA-COLA BEVERAGES,COCA-COLA,COCA-COLA/1050/ML/PBT/SAVE RS. 30/=,270,1050ML,PBT,,1740729289064-coca-cola beverages-sprite#3.png
202502,1,242520,12103010039,1739937747228,26,BELLOSE LANKA LTD,BELLOSE,"BELLOSE/50/ML/PLPCH/ANTI-DANDRUFF SHAMPOO ",125,50 ML,"PLPCH ",,1740729289064-coca-cola beverages-sprite#3.png
202502,1,242520,12103010039,1740115966694,15,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,"SUNLIGHT/50/GM/PLPCH/CLEAN & CITRUS FRESH DETERGENT POWDER ",25,50 GM,"PLPCH ",,1740729289064-coca-cola beverages-sprite#3.png
202502,5,14192,788050004,1740719011290,38,"ALOIS ENTERPRISES ",ALOIS,"ALOIS\750\ML\GBT\SUPER HIGH GLOSS NC THINNER ",795,750ML,GBT,,1740719011290-alois enterprises -alois#3.png
202502,5,14192,788050004,1740719228784,38,JHP PRODUCT,JHP,"JHP\1\L\PBT\WOOD PRESERVATIVE ",1200,1L,PBT,,1740719228784-jhp product-jhp#3.png
202502,5,14192,788050004,1740718760220,38,"ALOIS ENTERPRISES ",ALOIS,"ALOIS\2\L\PL CAN\WOOD PRESERVATIVE CLEAR ",2100,2L,PL CAN,,1740718760220-alois enterprises -alois#3.png
202502,5,14192,788050004,1740718911378,38,"ALOIS ENTERPRISES ",ALOIS,"ALOIS\180\ML\GBT\SUPER HIGH GLOSS NC THINNER ",220,180ML,GBT,,1740718911378-alois enterprises -alois#3.png
202502,1,118492093,53403010002,1740374011952,15,UNILEVER SRI LANKA LTD,SUNLIGHT,"SUNLIGHT/50/GM/PLPCH/2 IN 1/CLEAN & CITRUS FRESH/DETERGENT POWDER ",25,50 GM,PLPCH,,1740718911378-alois enterprises -alois#3.png
202502,1,116141778,71403010003,1739164913426,10,RAIGAM MARKETING SERVICE,RAIGAM SOYA,RAIGAM/60/GM/PLPCH/CRAB FLAVOUR SOYA (KALAPU KAKULUWO),130,60 GM,"PLPCH ",,1740718911378-alois enterprises -alois#3.png
202502,1,118114137,20616010008,1740721260382,27,HEMAS MARKETING,CLOGARD,CLOGARD /120G/CD BOX/NATURAL SALT/SAVE 10/=,240,120G,CD,,1740721260382-hemas marketing-clogard#3.png
202502,1,60737718,20268010001,1740378024091,15,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,"SUNLIGHT/50/GM/PLPCH/2 IN 1 CLEAN & CITRUS FRESH POWDER ",25,50GM,PLPCH,,1740721260382-hemas marketing-clogard#3.png
202502,1,60737718,20268010001,1740038325950,40,HUTCH,HUTCH,HUTCH PREPAID INTERNET (DATA) CARD RS.79,0,79,CRAD,Any other reason,1740721260382-hemas marketing-clogard#3.png
202502,1,60737718,20268010001,1740038397146,40,HUTCH,HUTCH,HUTCH PREPAID INTERNET (DATA) CARD RS.159,0,159,CRAD,,1740721260382-hemas marketing-clogard#3.png
202502,1,60737718,20268010001,1739270463674,25,HEMAS MARKETING,FEMS,FEMS/10/NAPKINS/PLPCH/COTTON FEEL WINGS 3X PROTECTION SANITARY NAPKINS,270,10NAPKINS,PLPCH,,1740721260382-hemas marketing-clogard#3.png
202502,2,60737718,20268020001,1740378369413,2,RAINBOW MARKETING,COOL,COOL/210/ML/PET /ALOE VERA DRINK,140,210ML,PET,,1740721260382-hemas marketing-clogard#3.png
202502,1,8163187,19792010001,1740717194698,15,UNILEVER LANKA CONSUMER LTD,"SUNLIGHT ","SUNLIGHT 2 IN 1 CLEAN & CITRUS FRESH - DOUBLE PERFUME LOCK - DOUBLE CLEANING CRYSTALS DETERGENT POWDER 50GM ",25,50GM,PLPCH,,1740717194698-unilever lanka consumer ltd-sunlight #3.png
202502,1,61892560,12103010004,1740115966694,15,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,"SUNLIGHT/50/GM/PLPCH/CLEAN & CITRUS FRESH DETERGENT POWDER ",25,50 GM,"PLPCH ",,1740717194698-unilever lanka consumer ltd-sunlight #3.png
202502,1,61892560,12103010004,1740648215187,28,DG PRODUCTS,D&G,"D&G/100/GM/PLPCH/CHILLI POWDER ",150,100 GM,"PLPCH ",,1740648215187-dg products-d-g#3.png
202502,1,130510794,14029010004,1740127855883,15,STAR HOLDINGS INTERNATIONAL,STAR LIGHT,STAR LIGHT/1000/GM/PLPCH/4 IN 1 OXI ACTION LAVENDER & PEACH EXOTIC SENSATION/FREE/MELLOW/40/ML/PLPCH/MORNING LILY FABRIC SOFTENER,350,"1000GM ","PLPCH ",Any other reason,1740127855883-star holdings international-star light#3.png
202502,1,130510794,14029010004,1740124928050,13,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VOLIN,VENDOL VOLIN/80/GM/CDB/PINK ORIGINAL SECRET BEAUTY OIL WITH KUMKUMADI/SAVE RS. 25/=,100,"80GM ",CDB,,1740124928050-godakanda herbals -pvt- ltd - -vendol lanka--vendol volin#3.png
202502,1,130510794,14029010004,1740128148159,15,STAR HOLDINGS INTERNATIONAL,STAR LIGHT,STARLIGHT/1000/GM/PLPCH/4 IN 1 OXI ACTION FLORAL & FRUITY EXOTIC SENSATION/FREE/MELLOW/40/ML/PLPCH/MORNING LILY FABRIC SOFTENER,350,"1000GM ","PLPCH ",,1740128148159-star holdings international-star light#3.png
202502,1,130510794,14029010004,1739953978430,13,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/350(70G×5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK SAVE RS. 50/= /FREE/KHOMBA/70/GM/CDB/CLEAR HERBAL BAR WITH LIME & CUCUMBER/SAVE RS. 275/=,575,350GM(70G×5),CDB,,1739953978430-swadeshi industrial works ltd-khomba#3.png
202502,1,130510794,14029010004,1740206266276,35,C.W. MACKIE PLC,DELISH,"DELISH/50/GM/CDB/COCOA POWDER ",420,"50GM ",CDB,,1740206266276-c-w- mackie plc-delish#3.png
202502,1,130510794,14029010004,1740201676527,28,NEW DIAMOND LANKA (PVT)LTD,DIAMOND,DIAMOND/250/GM/PLCUP/GORAKA PASTE,175,250GM,"PLCUP ",,1740201676527-new diamond lanka -pvt-ltd-diamond#3.png
202502,1,130510794,14029010004,1740123282620,35,C.W. MACKIE PLC,DELISH,"DELISH/50/GM/PLCUP/BAKING POWDER ",180,"50GM ","PLCUP ",,1740123282620-c-w- mackie plc-delish#3.png
202502,1,130510794,14029010004,1740036386313,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,"CHANDANALEPA/75/GM/CDB/VENIVEL AYURVEDA SOAP ",220,"75GM ",CDB,,1740036386313-sanjeewaka ayurvedic products-chandanalepa#3.png
202502,1,130510794,14029010004,1740036340430,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,"CHANDANALEPA/75/GM/CDB/KOHOMBA AYURVEDA SOAP ",220,"75GM ",CDB,,1740036340430-sanjeewaka ayurvedic products-chandanalepa#3.png
